제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
게보린정(수출명:돌로린정),아세트아미노펜|카페인무수물|이소프로필안티피린,이 약은 두통|치통|발치(이를뽑음)후동통(통증)|인후(목구멍)통|귀의통증|관절통|신경통|요(허리)통|근육통|견통(어깨통증)|타박통|골절통|염좌통(삔통증)|월경통(생리통)|외상(상처)통의진통과오한(춥고떨리는증상)|발열시의해열에사용합니다.,성인은1회1정1일3회까지공복시를피해복용합니다.복용간격은4시간이상으로합니다.이 약은 원칙적으로단기간복용합니다.,습기와빛을 피해 실온에서 보관하십시오
겔포스엠현탁액,인산알루미늄겔|수산화마그네슘|시메티콘,이 약은 위산과다(위염|위·십이지장궤양에관련된것도포함)|속쓰림|위부불쾌감|위부팽만감|체함|구역|구토|위통|신트림에사용합니다.,성인1회1포씩|1일3회식간(식사때와식사때사이)및취침시복용합니다.복용간격은4시간이상으로합니다.,습기와빛을 피해 실온에서 보관하십시오
겔포스현탁액(인산알루미늄겔),인산알루미늄겔|콜로이드성인산알루미늄,이 약은 위·십이지장궤양|위염|위산과다(속쓰림|위통|구역|구토)의제산작용및증상의개선에사용합니다.,성인은1회1포씩|1일3~4회식간(식사때와식사때사이) 및취침시복용합니다.연령또는증상에따라적절히증감합니다.,빛을 피해 실온에서 보관하십시오
닥터베아제정,디아스타제·프로테아제·셀룰라제|판셀라제|크리아제PEG|디아스타제·프로테아제100|판프로신|리파제|브로멜라인|우르소데옥시콜산|시메티콘파우더,이 약은 소화불량|식욕감퇴(식욕부진)|과식|체함|소화촉진|소화불량으로인한위부팽만감에사용합니다.,성인1회1정을1일3회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
리프레쉬플러스점안액0.5%(카르복시메틸셀룰로오스나트륨)(1회용),카르복시메틸셀룰로오스나트륨,이 약은 안구건조증이나바람·태양에노출되어생기는화끈거리는증상|자극감|불쾌감을일시적으로완화및안구자극감예방에사용합니다.,필요시증상이있는눈에1~2방울을점안하고점안후남은액과용기는버립니다.다른점안제와동시에사용할경우|희석효과를피하기위해적어도15분의간격을두고점안합니다.,상온에서 보관하십시오
마그밀정(수산화마그네슘),수산화마그네슘,이 약은 위·십이지장궤양|위염|위산과다의제산작용및증상의개선|변비증에사용합니다.,위.십이지장궤양|위염|위산과다에는산화마그네슘으로서1일2~5정(1~2.5g)을수회(여러차례)분할복용|변비증에는1일2~4정(1~2g)을1~2회분할복용합니다.연령|증상에따라적절히증감합니다.,습기와빛을 피해 실온에서 보관하십시오
맥시부펜시럽(덱시부프로펜),덱시부프로펜,이 약은 급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)|4~6시간간격으로필요시에복용하며|1일최대4회(28mg/kg)를넘지않습니다.체중이30kg이하인소아에게는1일최대25mL(300mg)을초과하지않습니다.몸무게를알 경우 몸무게에따른용량으로복용하는것이더적절하므로연령대별권장용량은허가사항을참고하십시오. ,빛을피해상온(15~25℃)에서보관하십시오.
뮤테란과립200밀리그램(아세틸시스테인),아세틸시스테인,이 약은 급ㆍ만성기관지염|기관지천식|후두염|부비동염|낭성섬유증의질환에서 객담배출곤란에사용합니다.,급성질환에성인은1회1포(200mg)씩|1일3회|6~14세는1회1포(200mg)씩|1일2회|2~5세는1회1/2 포(100mg)씩|1일3회소량의물과함께복용합니다.만성질환에성인은1회1포(200mg)씩|1일2회|6~14세는1회 1/2 포(100mg)씩|1일3회소량의물과함께복용합니다.낭성섬유증에6세이상은1회1포(200mg)씩|1일3회|2~5세는1회1/2 포(100mg)씩|1일4회소량의물과함께복용합니다.,상온에서 보관하십시오
뮤테란캡슐200밀리그램(아세틸시스테인),아세틸시스테인,이 약은 급ㆍ만성기관지염|기관지천식|후두염|부비동염|낭성섬유증의질환에서 객담배출곤란에사용합니다.,급성질환에성인은1회1캡슐(200mg)씩|1일3회|6~14세는1회1캡슐(200mg)씩|1일2회식전에소량의물과함께복용합니다.만성질환에성인은1회1캡슐(200mg)씩|1일2회|6~14세는1회  1/2 캡슐(100mg)씩|1일3회식전에소량의물과함께복용합니다.낭성섬유증에6세이상은1회1캡슐(200mg)씩|1일3회식전에소량의물과함께복용합니다.,상온에서 보관하십시오
베아제정,디아스타제·프로테아제·셀룰라제|리파제|판프로신|판셀라제|판크레아틴장용과립|우르소데옥시콜산|시메티콘,이 약은 소화불량|식욕감퇴(식욕부진)|과식|체함|소화촉진|소화불량으로인한위부팽만감에사용합니다.,성인1회1정1일3회식후에복용합니다.,습기와 빛을 피해 서늘한 곳에 보관하십시오
보령뮤코미스트액(아세틸시스테인),아세틸시스테인,이 약은 기관지천식|만성기관지염|기관지확장증|폐결핵|폐기종|상기도염(인·후두염)|폐화농증|폐렴|낭성섬유증|수술후폐합병증의객담배출곤란과기관지조영|기관지경검사|폐암세포진|기관절개술의전·후처치에사용합니다.,안면마스크|마우스피스|기관누공형성술을이용한분무요법은1~10mL를2~6시간마다분무합니다.추천양은3~5mL를1일3~4회분무합니다.분무텐트및흡입기(Croupette)를이용한분무요법은특별한경우에필요한방법으로환자의개인적요구및투여방법의편이도에따라개인적으로사용합니다.이투여방법에는많은양의용액이필요하여|때때로1회치료시300mL정도까지요구되는수도있습니다.추천양은치료기간동안천막이나흡입기내에매우농도가짙은안개같은상태를유지할수있는용량이어야합니다.간헐적또는계속적으로장기간투여하는것이바람직합니다.직접주입하는경우1~2mL을1시간마다투여합니다.기관누공형성술을한환자의정기적치료에는1~2mL을기관누공을통해1~4시간마다투여합니다.국소마취와직접절개를하여기관내로작은플라스틱카테타를삽입하여폐기관수지상구조의특정부분에직접투여하는경우카테타와연결된주사기를이용하여2~5mL를1~4시간마다투여합니다.진단용기관지조영시기관지조영실시전에1~2mL를2~3회분무용법또는기관지내주입법에의해투여합니다.,빛을 피해 실온에서 보관하십시오
복합써스펜좌약,아세트아미노펜|DL메티오닌,이 약은 감기로인한발열및통증에사용합니다.,3~6세는1회2개|1~2세는1회1~2개|3~12개월은1회1개씩|1일2~3회좌약의둥근부분부터직장내깊이삽입합니다.직장근육긴장으로밀려나올경우에는양쪽대퇴부를오므려약1분간안아줍니다.,상온에서 보관하십시오
삐콤씨정,티아민질산염|리보플라빈|피리독신염산염|시아노코발라민100배산|아스코르브산과립97%|판토텐산칼슘|니코틴산아미드|토코페롤아세테이트2배산|셀레늄함유건조효모,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)체력저하시|노년기의비타민E|B1|B2|B6|C의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기ㆍ눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|햇빛ㆍ피부병등에의한색소침착(기미|주근깨)의완화|잇몸출혈ㆍ비출혈(코피)예방에사용합니다.,만12세이상및성인은1회1정씩|1일2회(아침|저녁)복용합니다.,습기와빛을 피해 실온에서 보관하십시오
신신파스아렉스,L멘톨|박하유|살리실산메틸|dl캄파|니코틴산벤질(피리딘베타카르복실산벤질에스테르)|노닐산바닐릴아미드|산화아연,이 약은 어깨결림|허리통|신경통|류마티스|타박상|염좌(삠)|근육통|관절통의진통·소염에사용합니다.,1일1~2회질환부위에부착합니다.,습기와빛을 피해 실온에서 보관하십시오
아로나민골드정,푸르설티아민|리보플라빈부티레이트|피리독살포스페이트수화물|히드록소코발라민아세트산염|아스코르브산|토코페롤아세테이트2배산,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기(간유|비타민D|E함유시)의비타민B1|B2|B6|E|C의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,성인은1회1정씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알마겔정(알마게이트)(수출명:유한가스트라겔정),알마게이트,이 약은 위·십이지장궤양|위염|위산과다|속쓰림|구역|구토|위통|신트림의제산작용및증상의개선에사용합니다.,성인및12세이상의소아는1회2정(1g)을1일3회식후30분~1시간에씹어서복용합니다.필요시취침전에1회더복용할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알파간피점안액0.15%(브리모니딘타르타르산염),브리모니딘타르타르산염,이 약은 개방각녹내장|고안압의안압하강에사용합니다.,1회1방울씩|1일3회8시간간격으로점안합니다.다른점안제와같이가능한전신흡수를줄이기위해1분동안누낭을내안각에눌러줄것(누점폐색)이권장됩니다.한가지이상의점안제를사용할때에는5∼15분간격을두고투여합니다.,습기와빛을 피해 실온에서 보관하십시오
어린이부루펜시럽(이부프로펜),이부프로펜,이 약은 류마티양관절염|연소성류마티양관절염|골관절염|감기로인한발열및동통|요통|월경곤란증|수술후동통과 강직성척추염|두통|치통|근육통|신경통|급성통풍|건선성관절염|연조직손상(염좌|좌상)|비관절류마티스질환(건염|건초염|활액낭염)에사용합니다.,류마티양관절염|골관절염|강직성척추염|연조직손상|비관절류마티스질환|급성통풍|건선성관절염에성인은1회200600mg씩|1일34회복용합니다. 1일최고3|200mg까지투여할수있습니다.연소성류마티양관절염에체중(kg)당1회3040mg씩|1일3~4회복용합니다.경증및중등도의동통|감기에성인은1회200400mg씩|1일3~4회복용합니다.연령|증상에따라적절히증감할수있습니다.어린이의경우11~14세는200250mg(10~13ml)씩|7~10세는150~200mg(8~10ml)씩|3~6세는100~150mg(5~8ml)|1~2세는50~100mg(3~5ml)씩|1일3~4회복용합니다. 체중이30kg미만인어린이는1일량이500mg(25ml)을초과해서는안되며공복에복용을피하는것이바람직합니다.,빛을 피해 실온에서 보관하십시오
어린이타이레놀현탁액(아세트아미노펜),아세트아미노펜(미분화),이 약은 감기로인한발열및동통(통증)|두통|신경통|근육통|월경통|염좌통(삔통증)|치통|관절통|류마티양동통(통증)에사용합니다.,만12세이하의소아는1회권장용량을46시간마다필요시복용합니다.1일5회(75mg/kg)를초과하여복용하지마십시오.연령대별권장용량은허가사항을참고하십시오.,상온에서 보관하십시오
엘도스캡슐(에르도스테인),에르도스테인,이 약은 급ㆍ만성호흡기질환에서의점액용해및거담에사용합니다.,성인은1회1캡슐(300mg)을1일2~3회복용합니다.급성호흡기질환에복용 시연속으로10일이상복용하지않습니다.,상온에서 보관하십시오
오트리빈멘톨0.1%분무제(자일로메타졸린염산염),자일로메타졸린염산염,이 약은 코감기(급성비염)|알레르기성비염 또는부비동염에의한코막힘|콧물|재채기|머리무거움의완화에사용합니다.,만12세이상의청소년또는성인은1일3회의범위내에서|1회1번각비강(코안)에뿌립니다.적용간격은8시간이상으로합니다.,습기와 빛을 피해 25℃ 이하에서 보관하십시오
임팩타민프리미엄정,벤포티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민1000배산|콜린타르타르산염|이노시톨|비오틴|폴산|산화아연|아스코르브산과립97%|토코페롤아세테이트50%|셀레늄함유건조효모|우르소데옥시콜산,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민B1|B2|B6|E|C의보급과신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로와아연의보급에사용합니다.,12세이상어린이및성인은1회1~2정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
제일쿨파프,살리실산메틸|L멘톨|dl캄파|박하유|티몰,이 약은 삠|타박상|근육통|관절통|골절통|요(허리)통|어깨결림|신경통|류마티스통증의진통ㆍ소염(항염)에사용합니다.,1일1~2회환부(질환부위)에붙입니다.,습기와빛을 피해 실온에서 보관하십시오
지르텍정(세티리진염산염),세티리진염산염,이 약은 계절성및다년성알레르기성비염|알레르기성결막염|만성특발성두드러기|피부가려움증과 하이드로코티손외용제와병용에의한습진|피부염에사용합니다.,성인및6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2정(5mg)씩을아침|저녁에분할복용합니다.연령|증상에따라적절히증감합니다.신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,상온에서 보관하십시오
케노펜겔(케토프로펜),케토프로펜,이 약은 퇴행성관절염(골관절염)|어깨관절주위염|건ㆍ건초염|건주위염|상완골상과염(테니스엘보우등)|근육통|외상후의종창ㆍ동통의진통ㆍ소염에사용합니다.,증상에따라적당량을1일1~4회환부에바르고잘스며들도록가볍게문지릅니다.,습기와빛을 피해 실온에서 보관하십시오
케토톱플라스타(케토프로펜)(싱가폴수출명:KetotopPainReliefPlaster30mg),케토프로펜,이 약은 퇴행성관절염(골관절염)|어깨관절주위염|건·건초염|건주위염|상완골상과염(테니스엘보우등)|근육통|외상후의종창·동통의진통·소염에사용합니다.,1일2회약면의박리지를떼어낸후환부(질환부위)에부착합니다.,
케펜텍플라스타(케토프로펜)(수출명:KEFEN),케토프로펜,이 약은 퇴행성관절염(골관절염)|어깨관절주위염|건(힘줄)ㆍ건초염(힘줄윤활막염)|건(힘줄)주위염|상완골(위팔뼈)상과염(테니스엘보우등)|근육통|외상(상처)후의종창(부기)ㆍ동통(통증)의진통ㆍ소염(항염)에사용합니다.,약면의박리지를떼어낸후환부에1일2회부착합니다.,습기와빛을 피해 실온에서 보관하십시오
코미시럽,페닐레프린염산염|클로르페니라민말레산염,이 약은 감기또는알레르기성및혈관운동성비염(코염)에의한재채기|콧물|코막힘|눈물과부비동염에의한비충혈(코막힘)의일시적완화에사용합니다.,만12세이상소아및성인은4시간마다10mL씩복용하되|24시간동안60mL를초과하지마십시오.만6세이상~12세미만소아는 4시간마다5mL씩복용하되|24시간동안30mL를초과하지마십시오.만2세이상~6세미만소아는 의사의지시에따르십시오.,습기와빛을 피해 실온에서 보관하십시오
코솝점안액,도르졸라미드염산염|티몰롤말레산염,이 약은 개방각녹내장환자또는베타차단제에불충분하게반응하는고안압환자의증가된안압감소에사용합니다.,성인은1회1방울씩|1일2회질환이있는결막낭에점안합니다.다른점안제를사용하는경우|각점안제를최소10분이상간격을두고사용합니다.약2분간비루관을막거나눈을감고있으면이약의전신흡수가줄어들어투여부위에서의국소적효과를높일수있습니다.사용전환자는손을씻고안약의끝이눈에직접닿지않도록주의합니다.사용법을따르지않을경우감염의위험이있으며감염된안약을사용할경우에는눈에심각한이상증세가생기거나시력을잃을수있습니다.,빛을 피해 실온에서 보관하십시오첫개봉후28일을초과하는경우사용하지마십시오.
코앤나잘스프레이,히알루론산나트륨|덱스판테놀,이 약은 코점막보습및보호에사용합니다.,1회사용시1~2회좌우비강에분무하며|1일3회사용합니다.,빛을 피해 실온에서 보관하십시오개봉후12주이상사용하지마십시오.
코앤쿨나잘스프레이,자일로메타졸린염산염|클로르페니라민말레산염,이 약은 코감기(급성비염)|알레르기성비염또는부비동염에의한코막힘|콧물|재채기|머리무거움의완화에사용합니다.,만12세이상및성인은1회1번씩1일1~3회비강에분무합니다.연령및증상에따라적절히증감하되 1일3회를넘지않도록합니다.매회최소8시간이상의간격을두고적용합니다. ,빛과습기를피해상온에서 보관하십시오
크라비트점안액(레보플록사신수화물),레보플록사신수화물,이 약은 안검염|맥립종|누낭염|결막염|검판선염|각막염|각막궤양|안과수술시의무균화요법에사용합니다.,1회1방울씩|1일3회점안합니다.,습기와빛을 피해 실온에서 보관하십시오
타겐에프연질캡슐(빌베리건조엑스),빌베리건조엑스,이 약은 당뇨병에의한망막변성및눈의혈관장애개선과야맹증에사용합니다.,1회1캡슐(170mg)씩|1일2～3회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
타이레놀정500밀리그람(아세트아미노펜),아세트아미노펜,이 약은 감기로인한발열및동통(통증)|두통|신경통|근육통|월경통|염좌통(삔통증)|치통|관절통|류마티양동통(통증)에사용합니다,만12세이상소아및성인은1회1~2정씩|1일3~4회(4~6시간마다)필요시복용합니다.이 약은 가능한최단기간동안최소유효용량으로복용하며|1일최대8정(4g)을초과하여복용하지않습니다.,상온에서 보관하십시오
트라스트패취(피록시캄)(수출명:미포톱),피록시캄,이 약은 퇴행성관절염(골관절염)|건초염(힘줄윤활막염)|근육통|골관절통|외상후동통(통증)및골절치유후의동통(통증)에사용합니다.,환부(질환부위)에2일마다1매씩부착합니다.단|목욕이나샤워후또는땀이날경우에는1일1매씩부착할수있습니다.환부(질환부위)를깨끗이하고건조시키며약면의박리지를떼어낸후피부에견고하게부착시키고손바닥으로잘눌러줍니다.특히패취가장자리부분이잘붙었는지확인합니다.,상온에서 보관하십시오
파자임95밀리그램이중정,시메티콘|판크레아틴|시메티콘산,이 약은 소화불량|식욕감퇴(식욕부진)|과식|체함|소화촉진|소화불량으로인한위부팽만감|가스제거에사용합니다.,성인은1회1정씩| 1일3회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
판콜에스내복액,아세트아미노펜|dl메틸에페드린염산염|클로르페니라민말레산염|카페인무수물|구아이페네신,이 약은 감기의여러증상(콧물|코막힘|재채기|기침|인후(목구멍)통|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,성인1회1병(30mL)1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
판콜에이내복액,아세트아미노펜|구아이페네신|펜톡시베린시트르산염|페닐레프린염산염|클로르페니라민말레산염|카페인무수물,이 약은 감기의여러증상(콧물|코막힘|재채기|인후(목구멍)통|기침|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,성인1회1병(30mL)씩|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
판피린큐액,티페피딘시트르산염|구아이페네신|dl메틸에페드린염산염|클로르페니라민말레산염|카페인무수물|아세트아미노펜,이 약은 감기의여러증상(콧물|코막힘|재채기|인후통|기침|가래|오한|발열|두통|관절통|근육통)의완화에사용합니다.,성인1회1병(20mL)을1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
