제품명,업체명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?
마그메코정,(주)이든파마,산화마그네슘|리보플라빈|메코발라민|셀레늄함유건조효모|피리독신염산염|토코페롤아세테이트2배산|감마-오리자놀,이약은육체피로|임신|수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B2|B6의보급|말초혈행장애및갱년기시어깨·목결림|수족저림·수족냉증(손발이차가움)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화에사용합니다.,만15세이상및성인은1회1정씩|1일1회복용합니다.,이약에과민증환자|수유부|콩또는땅콩에과민증환자|대두유에알레르기반응경험자|만12개월미만의젖먹이|심한증상의신부전환자는이약을복용하지마십시오.이약을복용하기전에임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|소화성궤양|만성궤양성대장염|국한성대장염등의위장질환환자|심장·순환기계기능장애|신장(콩팥)장애|저단백혈증환자|고지단백혈증|당뇨병성고지질혈증및췌장염등지방대사이상환자또는지질성유제를신중히투여해야하는환자|지방과부하로특별한위험이예상되는환자|폴산이부족한환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.요를황색으로변하게하여임상검사치에영향을줄수있습니다.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,인산염|칼슘염|경구용테트라사이클린계제제|제산제|레보도파와함께복용하지마십시오.에스트로겐을포함한경구용피임제|항알도스테론제|트리암테렌과?함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,위부불쾌감|설사|변비|발진|발적(충혈되어붉어짐)|붉은반점|설사|부전수축(심장박동정지)|중추신경계기능저하|생리가예정보다빨라지거나양이점점많아지거나출혈이오래지속되는증상등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
쏙코에이연질캡슐,(주)에이프로젠바이오로직스,아세트아미노펜|슈도에페드린염산염|클로르페니라민말레산염,이약은감기의제증상(여러증상)(콧물|코막힘|재채기|인후(목구멍)통|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상및성인은1일3회|1회2캡슐식후30분에복용합니다.,이약에과민증환자또는경험자|다른해열진통제또는감기약복용시천식경험자|만3개월미만의영아(갓난아기)|중증또는조절되지않는고혈압환자는이약을복용하지마십시오.이약을복용하기전에만2세미만의소아|수두또는인플루엔자에감염되어있거나또는의심되는영아(갓난아기)및만15세미만의어린이|슈도에페드린성분과관련하여허혈성대장염의증상(급격한복통|직장출혈등)이발현될경우|알레르기체질|알레르기반응(발열|발진|관절통|천식|가려움증등)경험자|?간장질환|신장질환|심장질환|갑상선질환|당뇨병|고혈압|위십이지장궤양|녹내장(눈의통증|눈이침침함등)|배뇨곤란등이있는사람|고령자(노인)|몸이약한사람또는고열이있는사람|속쓰림|위부불쾌감|위통과같은위장문제가지속혹은재발되거나궤양|출혈문제를가지고있는사람|임부또는임신하고있을가능성이있는여성|수유부|기침(흡연|천식|만성기관지염|폐기종|과도한가래가동반되는기침|1주이상지속또는재발되는기침|만성기침|발열·발진이나지속적인두통이동반되는기침)환자|황색5호(선셋옐로우FCF)과민증또는알레르기반응경험자는의사또는약사와상의하십시오.5~6회복용하여도증상이좋아지지않을경우복용을즉각중지하고의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.복용후졸음이나타날수있으므로운전및기계조작시주의하십시오.,MAO억제제(항우울제|항정신병제|감정조절제|항파킨슨제등)|진해(기침을그치게함)거담제(가래약)|다른감기약|해열진통제|진정제|항히스타민제를함유하는내복약(비염(코염)용경구제|멀미약|알레르기용약)과함께복용하지마십시오.MAO억제제(항우울제|항정신병제|감정조절제|항파킨슨제등)복용을중단한후2주이내의사람은이약을복용하지마십시오.이약을복용하기전에당뇨약|통풍약|관절염약|항응고제|스테로이드제등다른약물을투여받고있는사람은의사또는약사와상의하십시오.바르비탈계약물|삼환계항우울제및알코올을투여한환자는다량의아세트아미노펜을대사시키는능력이감소되어아세트아미노펜의혈장반감기를증가시킬수있습니다.복용중음주하지마십시오.,발진·발적(충혈되어붉어짐)|가려움|구역·구토|식욕부진|변비|부종|배뇨곤란|목마름(지속적이거나심한)|어지러움|불안|떨림|불면|쇽증상(두드러기|부종|가슴답답함등과함께안색이창백하고|손발이차고|식은땀|숨쉬기곤란함등)|피부점막안증후군(스티븐스-존슨증후군)|중독성표피괴사용해(리엘증후군)|천식|간기능장애|간질성폐렴등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.가역적후뇌병증증후군및가역적뇌혈관수축증후군의증상(갑작스러운심한두통|번개두통|구역|구토|혼돈|발작|시각장애등)이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
알파칼연질캡슐(알파칼시돌),오스틴제약(주),알파칼시돌,이약은만성신부전|부갑상선기능저하증|비타민D저항성구루병·골연화증질환의비타민D대사이상에수반되는증상(저칼슘혈증|테타니|뼈의통증|뼈의병변(변화)등)의개선과골다공증에사용합니다.,성인은만성신부전·골다공증에1일1회1~2캡슐(0.5~1㎍)을복용하며부갑상선기능저하증|기타비타민D대사이상에따른질환에1일1회2~8캡슐(1~4㎍)을복용합니다.어린이는골다공증에1일1회체중kg당0.01~0.03㎍을복용하며기타질환에는1일1회체중kg당0.05~0.1㎍을복용합니다.,이약에과민증환자|?고칼슘혈증|고인산혈증|고마그네슘혈증|Ca×P생성물＞3.7(mmol/L)2환자|혈액pH＞7.44의알칼리혈증(우유알칼리증후군|Burnett증후군)|비타민D독성발현의증후가있는환자는이약을복용하지마십시오.이약을복용하기전에?임부또는임신하고있을가능성이있는여성및수유부|어린이|고령자|?신장결석경험자|?유육종증환자|황색5호에과민증환자또는경험자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.식이또는보급제로서칼슘섭취에대한지시를준수하십시오.,이약을복용하는동안마그네슘함유제제|비타민D와그유도체|칼슘함유제제또는티아지드계이뇨제를복용하지마십시오.디기탈리스|콜레스티라민같은수지나사하제인미네랄오일|페니토인과글루코코르티코이드|콜레스티폴|수크랄페이트또는알루미늄이다량함유된제산제|에스트로겐(에티닐에스트라디올|노르에티스테론)|바르비탈계약물또는항전간제를복용중인환자는?의사또는약사와상의하십시오.,때때로식욕부진|구역|구토|설사|변비|위통등의위장장애|위부불쾌감|복부팽만감|소화불량|?드물게구갈(목마름)|구강내이화감|다갈증|췌장염|금속성맛|다리근육경축|두통|머리무거움|불면|초조감|무력감|권태감|?어지러움|저림|졸음|가슴쓰림|어깨결림|노인성난청|이명(귀울림)|기억력·기명력의감퇴|현성정신병|의식장애|등통증|경도의혈압상승|심계항진(두근거림)|심부정맥|급성신부전|?BUN|크레아티닌의상승(신기능저하)|신장결석|신석회증|?간기능장애|황달|가려움|발진|열감|결막충혈|기타결막염|각막석회화|눈부심|관절주위의석회화(화골형성)|뼈의통증|?쉰목소리|부종(부기)|체중감소|배뇨곤란|다뇨(소변과다증)|야뇨|전위성석회화|근육통|콧물|고열|성욕감퇴|단백뇨|고콜레스테롤혈증등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
타치온정50밀리그램(글루타티온(환원형)),동아제약(주),글루타티온(환원형),이약은?약물중독|자가중독에사용합니다.,성인은1회1~2정(50~100mg)|1일1~3회복용합니다.연령|증상에따라적절히증감합니다.,-,-,드물게발진|식욕부진|구역|구토|위통등이?나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
드라이문트겔,동아제약(주),염화나트륨|염화칼륨|염화칼슘수화물|염화마그네슘수화물,이약은인후(목구멍)와구강(입안)의건조증(마름증)에사용합니다.,1회적당량을매일수회바릅니다.,이약또는난백에과민증환자는이약을사용하지마십시오.이약을사용하기전에아토피피부염|기관지천식|알레르기체질인환자|약이나달걀에과민증(발열|발진|관절통|천식|가려움등)경험자|프로필렌글리콜에과민증환자또는경험자는의사또는약사와상의하십시오.눈에사용하지마십시오.,-,때때로발진|발적|설사|식욕부진|위부불쾌감|구역|구토|드물게쇽증상(안면창백|사지냉감|혈압강하|청색증|의식불명)|구내염|피부점막안증후군(스티븐스-존슨증후군)|독성표피괴사용해(발열|홍반|가려움|안충혈|구내염|고열을동반하는발진·발적|화상모양의수종등의중증의증상이전신의피부|입과목의점막에나타남)등이나타나는경우사용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
애크논크림,지엘파마(주),이부프로펜피코놀|이소프로필메틸페놀,이약은?여드름|뾰루지에사용합니다.,비누등으로세안후적당량을1일수회환부(질환부위)에도포합니다.,이약에과민증환자|임신3기는이약을사용하지마십시오.이약을사용하기전에임부(꼭필요한경우의임신1기와2기)|약또는화장품에알레르기증상경험자|습윤이나짓무름이심한환자는의사또는약사와상의하십시오.여드름|뾰루지가있는부분에만사용하고주변의넓은부분이나눈또는눈주위|깊은상처와심한화상에는사용하지마십시오.눈에들어가지않도록주의하고|만일눈에들어갔을경우즉시깨끗한물로씻어내십시오.이약은외용으로만사용하십시오.정해진용법과용량을잘지키십시오.적용부위이외의피부에닿지않도록주의하십시오.,-,국소적인피부자극감(발진|가려움|건조|작열감|자극감|부기)이?나타나는경우사용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
마이케어로션2.5%(히드로코르티손),(주)마더스제약,히드로코르티손,이약은습진ㆍ피부염군|피부가려움|벌레물린데에사용합니다.,사용전잘흔들어섞은후1일1~3회적당량을환부(질환부위)에바르고증상에따라적절히증감합니다.이약의치료기간은7일이내로제한합니다.,이약에과민증환자|?피부감염증(결핵|매독|칸디다증|백선|대상포진|단순포진|수두|종두증|옴|사면발이)|?고막천공이있는습진성외이도염|?궤양(베체트병제외)|제2도심재성이상의화상및동상|입주위피부염|보통여드름|주사환자|비염증성가려움환자는이약을사용하지마십시오.이약을사용하기전에?임부또는임신하고있을가능성이있는여성및수유부|?유ㆍ소아(특히2세미만)|고령자는?의사또는약사와상의하십시오.안과용으로사용하지마십시오.화장이나면도후?치료이외의목적으로사용하지마십시오.의사의지시가없는한밀봉붕대법을사용하지마십시오.피부|눈|점막에경미한자극이될수있습니다.,-,전염성농가진|모낭염|칸디다증|백선|부스럼|피부자극|자통|발열|작열감(화끈감)|발진|발적|홍조|가려움|피부건조|농포성피부염|알레르기성접촉피부염|땀띠|한진|상처악화|욕창|농포증|?매우드물게두드러기|피부박탈|색소침착변화|적용부위자극/통증이?나타나는경우사용을즉각중지하고의사또는약사와상의하십시오.매우드물게국소과민증|안검피부에사용시안압상승|녹내장|국소코르티코이드의?전신흡수로인해쿠싱증후군|과혈당증|당뇨등이나타날수있습니다.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
위편정,(주)테라젠이텍스,진피|육계|회향|육두구|정향|겐티아나|고목|탄산수소나트륨|침강탄산칼슘|탄산마그네슘|합성규산알루미늄|디아스타제.프로테아제.셀룰라제2000Ⅱ,이약은위산과다|속쓰림|위부불쾌감|위부팽만감|체함|구역|구토|위통|신트림|식욕감퇴(식욕부진)|소화불량|과식|소화촉진|소화불량으로인한위부팽만감에사용합니다.,만15세이상은1회2정씩|1일3회식후30분에복용합니다.,투석요법을받고있는환자|만7세이하의어린이|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에신장장애환자|알레르기체질|나트륨제한식이를하는사람은의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.2주정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,테트라사이클린계항생제와함께복용하지마십시오.,변비|설사등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
디카본500정,코스맥스파마(주),탄산칼슘|농축콜레칼시페롤,이약은임신·수유기|발육기|노년기의비타민D의보급과뼈|이의발육불량|구루병의예방과칼슘결핍및기타칼슘의보급에사용합니다.,만8세이상및성인은1회1정씩|1일1회복용합니다.,이약에과민증환자|?만12개월미만의젖먹이|?고칼슘혈증(혈액중에칼슘이과잉으로존재하는상태)|유육종증(원인을알수없는전신염증질환)|신장질환|신장결석|심한증상의신부전|?갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에만1세미만의젖먹이|햇빛을많이보고정상적인식사를하는어린이|?임부또는임신하고있을가능성이있는여성및수유부|미숙아|유아|?심장ㆍ순환기계기능장애|신장장애|?저단백혈증환자|신장결석경험자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,인산염|?칼슘염|경구용?테트라사이클린계제제|?제산제와함께복용하지마십시오.이약을복용하기전에강심배당체를투여중인환자는의사또는약사와상의하십시오.항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|변비|저혈압|얼굴달아오름|심박동불규칙|피부발진등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
아드레큐에이정,(주)마더스제약,홍삼70%에탄올연조엑스|아스코르브산97%과립|산화마그네슘|피리독신염산염|폴산|판토텐산칼슘|시아노코발라민1000배산,이약은육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시비타민C의보급과햇빛ㆍ피부병등에의한색소침착(기미|주근깨)의완화|잇몸출혈ㆍ비출혈(코피)예방|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화와자양강장에사용합니다.,12세이상어린이및성인은1회1정|1일1~2회복용합니다.,이약에과민증환자|?고칼슘혈증(혈액중에칼슘이과잉으로존재하는상태)|유육종증(원인을알수없는전신염증질환)|신장질환|만12개월미만의젖먹이|신장결석|심한증상의신부전|?갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에만1세미만의젖먹이|햇빛을많이보고정상적인식사를하는어린이|고옥살산뇨증환자(요중에과량의수산염이배설되는상태)|임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|심장ㆍ순환기계기능장애|저단백혈증|통풍|폴산이부족한환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.각종요검사시에혈당의검출을방해할수있습니다.,인산염|칼슘염|경구용테트라사이클린계제제|제산제|레보도파와함께복용하지마십시오.강심배당체|항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|식욕부진|복부팽만감|변비|저혈압|얼굴달아오름|심박동불규칙|피부발진|붉은반점|심장박동정지|중추신경계기능저하등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
