ingredient_id,effect_meddra_id
68149,10037844
6851,10024382
10395,10019211
1100072,10017076
5487,10008479
35636,10021425
35636,10016173
342369,10003549
25255,10067484
73494,10020751
190521,10003239
1546438,10047700
61805,10037087
6809,10010774
41126,10022801
22299,10039020
35636,10010904
358258,10067484
17767,10013946
56946,10016256
5487,10047700
141704,10037660
68149,10021789
6809,10023676
4124,10015150
6135,10067484
342369,10028813
341248,10067484
134748,10067484
41493,10067484
11636,10020772
11636,10000496
6375,10042772
282446,10067484
306674,10003988
1251,10062026
5487,10019211
6851,10037383
342369,10029331
337525,10019663
4337,10020772
60307,10028596
282446,10014695
358258,10062026
17767,10019717
73494,10003239
114477,10037844
6375,10003549
10473,10028813
4124,10019211
342369,10003988
300195,10023676
282446,10062026
1251,10067484
342369,10002424
56946,10022095
8787,10006093
114477,10021789
358258,10047890
5487,10012601
6375,10010300
39998,10037844
495881,10050659
5487,10011224
5487,10015150
623400,10029864
35636,10052995
5487,10047862
89013,10019211
6719,10047700
623400,10012378
5487,10047115
6375,10028813
300195,10016219
358258,10021097
85762,10020751
342369,10013573
358258,10016288
89013,10047700
6719,10019211
22299,10014962
1815,10067484
68244,10019211
5487,10031127
1251,10028584
1592254,10034966
342369,10050584
6375,10019063
5487,10019717
89013,10037660
17767,10011224
39998,10010774
68149,10033371
25255,10020751
89013,10026749
623400,10044565
134748,10039083
6375,10016256
85762,10028411
68149,10002855
623400,10041349
276237,10047890
73494,10067484
300195,10037844
190521,10047890
89013,10042462
358258,10019948
11636,10013573
623400,10067484
407990,10020947
89013,10013946
5487,10037549
14851,10037844
17767,10047115
300195,10023673
343048,10019211
596724,10043882
17767,10015150
337525,10037844
5487,10003239
6851,10021789
596724,10047700
73494,10047862
85762,10019211
141704,10067484
358258,10052995
19831,10021789
596724,10017944
358258,10029328
73689,10037844
337525,10021789
85762,10047700
17767,10067484
141704,10036987
343048,10021097
1373478,10037087
35623,10033645
42316,10067484
33738,10062026
495881,10067484
342369,10029354
342369,10007554
85762,10017944
73494,10011224
22299,10017944
358258,10037660
190521,10019211
596724,10019211
41126,10021789
358258,10035664
519,10067484
89013,10013950
19831,10033557
358258,10047895
342369,10037087
141704,10002424
300195,10047890
306674,10013946
342369,10025482
1373478,10003476
114477,10020751
4337,10011224
17767,10042772
6851,10019211
342369,10033661
22299,10021789
