label_id,source,source_product_name,source_product_id,source_label_url
1,JP,"ブイフェンド200mg静注用",00050557,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00050557
2,JP,"ピオグリタゾン錠15mg「武田テバ」 (後発品)
ピオグリタゾン錠30mg「武田テバ」 (後発品)",00068619,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068619
3,JP,"ジルチアゼム塩酸塩錠30mg「CH」 (後発品)
ジルチアゼム塩酸塩錠60mg「CH」 (後発品)",00059622,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00059622
4,JP,"ジルチアゼム塩酸塩静注用250mg「日医工」 (後発品)",00066950,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066950
5,JP,"セルトラリン錠25mg「杏林」 (後発品)
セルトラリン錠50mg「杏林」 (後発品)
セルトラリン錠100mg「杏林」 (後発品)",00070747,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070747
6,JP,"トポテシン点滴静注40mg
トポテシン点滴静注100mg",00057231,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00057231
7,JP,"アルピニー坐剤50
アルピニー坐剤100
アルピニー坐剤200",00048161,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00048161
8,JP,"アジスロマイシン細粒小児用10％「トーワ」 (後発品)",00065340,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065340
9,JP,"クロトリマゾール腟錠100mg「F」 (後発品)",00067870,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067870
10,JP,"プロウペス腟用剤10mg",00068467,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068467
11,JP,"モンテルカストチュアブル錠5mg「ニプロ」 (後発品)",00066710,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066710
12,JP,"オキサリプラチン点滴静注液50mg／10mL「サンド」 (後発品)
オキサリプラチン点滴静注液100mg／20mL「サンド」 (後発品)
オキサリプラチン点滴静注液200mg／40mL「サンド」 (後発品)",00066313,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066313
13,JP,"ファムシクロビル錠250mg「トーワ」 (後発品)",00067022,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067022
14,JP,"ドセタキセル点滴静注20mg／1mL「ニプロ」 (後発品)
ドセタキセル点滴静注80mg／4mL「ニプロ」 (後発品)",00065347,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065347
15,JP,"プラバスタチンNa錠5mg「ケミファ」 (後発品)
プラバスタチンNa錠10mg「ケミファ」 (後発品)",00061176,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00061176
16,JP,"スニチニブ錠12.5mg「NK」 (後発品)",00071522,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00071522
17,JP,"セボフルラン吸入麻酔液「VTRS」",00070314,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070314
18,JP,"バルサルタン錠20mg「日新」 (後発品)
バルサルタン錠40mg「日新」 (後発品)
バルサルタン錠80mg「日新」 (後発品)
バルサルタン錠160mg「日新」 (後発品)",00062788,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062788
19,JP,"リセドロン酸Na錠2.5mg「日医工」 (後発品)",00059853,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00059853
20,JP,"プラバスタチンNa錠5mg「NS」 (後発品)
プラバスタチンNa錠10mg「NS」 (後発品)",00065634,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065634
21,JP,"動注用アイエーコール50mg
動注用アイエーコール100mg",00050614,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00050614
22,JP,"ランソプラゾールOD錠15mg「武田テバ」 (後発品)
ランソプラゾールOD錠30mg「武田テバ」 (後発品)",00067346,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067346
23,JP,"KCL補正液キット20mEq",00057539,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00057539
24,JP,"ジピリダモール錠100mg「ツルハラ」",00063041,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00063041
25,JP,"バルプロ酸ナトリウム徐放錠A100mg「トーワ」 (後発品)
バルプロ酸ナトリウム徐放錠A200mg「トーワ」 (後発品)",00068358,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068358
26,JP,"ザイザルシロップ0.05％",00062678,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062678
27,JP,"テルミサルタン錠20mg「VTRS」 (後発品)
テルミサルタン錠40mg「VTRS」 (後発品)
テルミサルタン錠80mg「VTRS」 (後発品)",00070730,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070730
