약품명,제조회사,주성분,효능,용법용량,주의사항,상호작용,부작용,보관방법,가격
타이레놀정500mg,한국얀센,아세트아미노펜,해열진통,성인 1회 1-2정 1일 3-4회,간질환 환자 주의,알코올과 병용 금지,위장장애 드물게 발생,실온보관,1500원
낙센정,동아제약,나프록센,소염진통,성인 1회 1정 1일 2회 식후복용,위궤양 환자 금기,와파린과 상호작용,위장장애 복통,실온보관,2000원
세파클러캡슐,유한양행,세파클러,항생제,성인 1회 1-2캡슐 1일 3회,페니실린 알레르기 주의,제산제와 2시간 간격,설사 두드러기,냉장보관,3500원
부루펜시럽,삼일제약,이부프로펜,해열진통,소아 20-30mg/kg/일 3-4회 분복,6개월 미만 금기,아스피린과 병용 주의,위장장애 발진,실온보관,2500원
가스모틴정,대웅제약,모사프리드,소화촉진,성인 1회 1정 1일 3회 식전복용,간경화 환자 주의,항콜린제와 상호작용,설사 복통,실온보관,1800원
노르바스크정,화이자,암로디핀,고혈압,성인 1일 1회 5-10mg,저혈압 환자 주의,자몽주스와 상호작용,부종 어지러움,실온보관,3000원
다이아벡스정,LG화학,메트포르민,당뇨병,성인 1회 500mg 1일 2-3회 식후,신기능 저하시 금기,조영제와 병용금지,소화불량 설사,실온보관,2200원
쿠팡정,일양약품,클로나제팜,수면진정,성인 1회 0.5-1mg 취침 전,녹내장 환자 금기,알코올과 병용금지,졸음 기억장애,실온보관,1200원
훼스탈정,한미약품,디메티콘,소화제,성인 1회 1-2정 1일 3회 식후,장폐색 환자 금기,흡착작용으로 다른약물 간섭,변비 드물게 발생,실온보관,1000원
씨잔정,한국로슈,세티리진,알레르기,성인 1일 1회 10mg,신부전 환자 용량조절,진정제와 상호작용,졸음 구갈,실온보관,2800원
리피토정,화이자,아토르바스타틴,고지혈증,성인 1일 1회 10-20mg,간질환 환자 금기,사이클로스포린과 상호작용,근육통 간효소 상승,실온보관,4500원
마그밀정,태극제약,산화마그네슘,제산제,성인 1회 1-2정 1일 3회,신부전 환자 주의,테트라사이클린과 상호작용,설사 복부팽만,실온보관,800원
판토록정,한독,판토프라졸,위산억제,성인 1일 1회 40mg 공복시,간질환 환자 주의,와파린과 상호작용,두통 복통,실온보관,3200원
트리돌정,유한양행,트라마돌,진통제,성인 1회 50-100mg 1일 3-4회,호흡억제 위험,MAO억제제와 금기,오심 변비,실온보관,2600원
졸레드론산,노바티스,졸레드론산,골다공증,1년 1회 정맥주사 5mg,신기능 저하시 금기,루프이뇨제와 상호작용,급성기 반응,냉장보관,15000원
